input_text,simplified_phrase
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately stay inside your vehicle and wait for emergency responders without panicking.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Action required: apply direct pressure to the wound and elevate the injured area carefully.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you turn off the main gas valve and evacuate the premises as soon as possible.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Turn off electricity if it is safe before leaving the building while remaining calm.",Power Off. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Please move away from the windows and find a secure room carefully.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Close the door behind you to slow the spread of fire if it is safe to do so.",Close Door. Slow Fire.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: activate the fire alarm on your way out of the corridor as soon as possible.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to drop to the floor, take cover under a sturdy table, and hold on as soon as possible.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, leave your belongings behind and evacuate the building immediately as instructed.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, check for breathing and begin cpr if necessary as instructed.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Lock and barricade the door until authorities arrive.",Lock Door. Barricade.
"Simplify this emergency instruction into concise, actionable phrases: Please call an ambulance and wait outside for them to arrive before the situation worsens.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: You must do not use the elevators, use the emergency fire stairs right now.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Kindly stay away from electrical outlets and avoid using wired devices right now.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay inside your vehicle and wait for emergency responders as soon as possible.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to leave your belongings behind and evacuate the building immediately without panicking.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Kindly stay inside your vehicle and wait for emergency responders to ensure your safety.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, call an ambulance and wait outside for them to arrive to ensure your safety.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to call an ambulance and wait outside for them to arrive right now.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please find a safe place to hide and stay quiet until help arrives and stay calm.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to leave your belongings behind and evacuate the building immediately to ensure your safety.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Attention: do not drink the tap water, use bottled water instead as soon as possible.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: lock the doors, turn off the lights, and remain silent without panicking.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not drink the tap water, use bottled water instead without panicking.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Turn off electricity if it is safe before leaving the building if it is safe to do so.",Power Off. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Kindly secure all loose objects and stay away from glass panels without panicking.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you secure all loose objects and stay away from glass panels carefully.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately crawl under the smoke to reach the nearest safe exit before the situation worsens.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to drop to the floor, take cover under a sturdy table, and hold on and stay calm.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Action required: secure all loose objects and stay away from glass panels to ensure your safety.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move away from the windows and find a secure room right now.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: You must secure all loose objects and stay away from glass panels immediately.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: You must crawl under the smoke to reach the nearest safe exit as instructed.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to apply direct pressure to the wound and elevate the injured area as soon as possible.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Warning: move away from the windows and find a secure room as instructed.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to call an ambulance and wait outside for them to arrive while waiting for responders.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Action required: secure all loose objects and stay away from glass panels.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, do not drink the tap water, use bottled water instead carefully.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please leave your belongings behind and evacuate the building immediately as soon as possible.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Move away from windows and heavy furniture immediately and assist others nearby.",Away. Windows. Furniture.
"Simplify this emergency instruction into concise, actionable phrases: Move inland to higher ground immediately after the warning immediately.",Inland. Higher Ground.
"Simplify this emergency instruction into concise, actionable phrases: Action required: check for breathing and begin cpr if necessary without panicking.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to move to higher ground immediately to avoid the floodwaters.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you call an ambulance and wait outside for them to arrive carefully.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Action required: use the fire extinguisher on the base of the flames as instructed.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you do not use the elevators, use the emergency fire stairs as instructed.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately use the fire extinguisher on the base of the flames while waiting for responders.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Attention: crawl under the smoke to reach the nearest safe exit and stay calm.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, apply direct pressure to the wound and elevate the injured area immediately.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Please stay away from electrical outlets and avoid using wired devices.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to do not use the elevators, use the emergency fire stairs while waiting for responders.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you drop to the floor, take cover under a sturdy table, and hold on while waiting for responders.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you find a safe place to hide and stay quiet until help arrives as instructed.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Attention: check for breathing and begin cpr if necessary without panicking.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, leave your belongings behind and evacuate the building immediately and help others if you can.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you move to higher ground immediately to avoid the floodwaters before the situation worsens.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Quickly activate the fire alarm on your way out of the corridor carefully.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you move to higher ground immediately to avoid the floodwaters to ensure your safety.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please leave your belongings behind and evacuate the building immediately before the situation worsens.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Warning: call an ambulance and wait outside for them to arrive and help others if you can.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Action required: stay inside your vehicle and wait for emergency responders as instructed.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Stay low to avoid smoke inhalation while moving toward the exit without delay.",Stay Low. Avoid Smoke. Exit.
"Simplify this emergency instruction into concise, actionable phrases: Kindly leave your belongings behind and evacuate the building immediately.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Kindly stay away from electrical outlets and avoid using wired devices as soon as possible.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you turn off the main gas valve and evacuate the premises without panicking.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move away from the windows and find a secure room and help others if you can.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly stay away from electrical outlets and avoid using wired devices immediately.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: activate the fire alarm on your way out of the corridor while waiting for responders.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to use the fire extinguisher on the base of the flames immediately.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Attention: cover your nose and mouth with a wet cloth and stay low to the ground carefully.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you secure all loose objects and stay away from glass panels as soon as possible.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Hide in a secure room and silence your mobile phone immediately.",Hide. Silence Phone.
"Simplify this emergency instruction into concise, actionable phrases: Quickly crawl under the smoke to reach the nearest safe exit right now.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Quickly cover your nose and mouth with a wet cloth and stay low to the ground immediately.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: You must secure all loose objects and stay away from glass panels and help others if you can.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, use the fire extinguisher on the base of the flames immediately.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Kindly activate the fire alarm on your way out of the corridor carefully.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: You must turn off the main gas valve and evacuate the premises without panicking.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Leave the building immediately and avoid using electrical switches immediately.",Leave Building. No Switches.
"Simplify this emergency instruction into concise, actionable phrases: Kindly activate the fire alarm on your way out of the corridor as soon as possible.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to do not use the elevators, use the emergency fire stairs.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, stay away from electrical outlets and avoid using wired devices and help others if you can.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Please leave your belongings behind and evacuate the building immediately as soon as possible.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to leave your belongings behind and evacuate the building immediately and help others if you can.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: You must use the fire extinguisher on the base of the flames and stay calm.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to cover your nose and mouth with a wet cloth and stay low to the ground right now.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Action required: move to higher ground immediately to avoid the floodwaters to ensure your safety.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to drop to the floor, take cover under a sturdy table, and hold on to ensure your safety.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to check for breathing and begin cpr if necessary to ensure your safety.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Do not re-enter the building until authorized immediately.",No Reentry. Wait Authorization.
"Simplify this emergency instruction into concise, actionable phrases: Warning: find a safe place to hide and stay quiet until help arrives to ensure your safety.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Kindly find a safe place to hide and stay quiet until help arrives to ensure your safety.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you call an ambulance and wait outside for them to arrive before the situation worsens.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to call an ambulance and wait outside for them to arrive without panicking.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Action required: drop to the floor, take cover under a sturdy table, and hold on and help others if you can.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not use the elevators, use the emergency fire stairs as instructed.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately stay away from electrical outlets and avoid using wired devices as instructed.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Activate the fire alarm before evacuating the building.",Fire Alarm. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to drop to the floor, take cover under a sturdy table, and hold on as instructed.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Warning: check for breathing and begin cpr if necessary.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: You must do not use the elevators, use the emergency fire stairs and help others if you can.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Kindly use the fire extinguisher on the base of the flames right now.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Action required: drop to the floor, take cover under a sturdy table, and hold on before the situation worsens.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to turn off the main gas valve and evacuate the premises while waiting for responders.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: You must cover your nose and mouth with a wet cloth and stay low to the ground as instructed.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: move to higher ground immediately to avoid the floodwaters right now.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to crawl under the smoke to reach the nearest safe exit as instructed.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Warning: stay away from electrical outlets and avoid using wired devices and stay calm.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Quickly crawl under the smoke to reach the nearest safe exit before the situation worsens.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please take the left exit door and go down the stairs slowly as soon as possible.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Attention: activate the fire alarm on your way out of the corridor.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Quickly secure all loose objects and stay away from glass panels.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move away from the windows and find a secure room as soon as possible.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly move away from the windows and find a secure room carefully.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, move away from the windows and find a secure room without panicking.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Wear protective equipment before approaching the spill.",Wear Protection. Spill.
"Simplify this emergency instruction into concise, actionable phrases: Quickly find a safe place to hide and stay quiet until help arrives before the situation worsens.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Leave the building immediately and avoid using electrical switches without delay.",Leave Building. No Switches.
"Simplify this emergency instruction into concise, actionable phrases: Quickly activate the fire alarm on your way out of the corridor.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: call an ambulance and wait outside for them to arrive without panicking.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Attention: use the fire extinguisher on the base of the flames to ensure your safety.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Kindly activate the fire alarm on your way out of the corridor before the situation worsens.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you take the left exit door and go down the stairs slowly as soon as possible.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately activate the fire alarm on your way out of the corridor to ensure your safety.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not use the elevators, use the emergency fire stairs without panicking.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: do not drink the tap water, use bottled water instead to ensure your safety.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Warning: turn off the main gas valve and evacuate the premises immediately.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move to higher ground immediately to avoid the floodwaters to ensure your safety.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Action required: stay away from electrical outlets and avoid using wired devices without panicking.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: move away from the windows and find a secure room before the situation worsens.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Kindly crawl under the smoke to reach the nearest safe exit as soon as possible.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Attention: use the fire extinguisher on the base of the flames while waiting for responders.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please apply direct pressure to the wound and elevate the injured area as instructed.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: You must stay inside your vehicle and wait for emergency responders as instructed.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you stay inside your vehicle and wait for emergency responders while waiting for responders.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay inside your vehicle and wait for emergency responders immediately.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, stay away from electrical outlets and avoid using wired devices before the situation worsens.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Action required: stay inside your vehicle and wait for emergency responders and stay calm.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Attention: apply direct pressure to the wound and elevate the injured area while waiting for responders.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: lock the doors, turn off the lights, and remain silent before the situation worsens.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to turn off the main gas valve and evacuate the premises as soon as possible.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Warning: crawl under the smoke to reach the nearest safe exit and help others if you can.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not use the elevators, use the emergency fire stairs carefully.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Action required: check for breathing and begin cpr if necessary and stay calm.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to apply direct pressure to the wound and elevate the injured area.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Please find a safe place to hide and stay quiet until help arrives while waiting for responders.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Quickly do not drink the tap water, use bottled water instead and stay calm.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not use the elevators, use the emergency fire stairs immediately.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you leave your belongings behind and evacuate the building immediately to ensure your safety.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Warning: turn off the main gas valve and evacuate the premises.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, turn off the main gas valve and evacuate the premises while waiting for responders.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Quickly find a safe place to hide and stay quiet until help arrives as instructed.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to apply direct pressure to the wound and elevate the injured area while waiting for responders.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you do not drink the tap water, use bottled water instead and stay calm.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately cover your nose and mouth with a wet cloth and stay low to the ground to ensure your safety.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please lock the doors, turn off the lights, and remain silent immediately.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to cover your nose and mouth with a wet cloth and stay low to the ground while waiting for responders.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately take the left exit door and go down the stairs slowly.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not drink the tap water, use bottled water instead before the situation worsens.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you move to higher ground immediately to avoid the floodwaters and help others if you can.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you secure all loose objects and stay away from glass panels and help others if you can.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, do not drink the tap water, use bottled water instead to ensure your safety.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Quickly cover your nose and mouth with a wet cloth and stay low to the ground to ensure your safety.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please activate the fire alarm on your way out of the corridor while waiting for responders.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Warning: lock the doors, turn off the lights, and remain silent as instructed.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay inside your vehicle and wait for emergency responders while waiting for responders.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you drop to the floor, take cover under a sturdy table, and hold on immediately.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Please drop to the floor, take cover under a sturdy table, and hold on and help others if you can.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Apply firm pressure to the wound until help arrives if it is safe to do so.",Pressure. Wound.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not use the elevators, use the emergency fire stairs and stay calm.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, secure all loose objects and stay away from glass panels immediately.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you lock the doors, turn off the lights, and remain silent as soon as possible.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to stay away from electrical outlets and avoid using wired devices as instructed.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: You must take the left exit door and go down the stairs slowly immediately.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: check for breathing and begin cpr if necessary and stay calm.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Quickly apply direct pressure to the wound and elevate the injured area immediately.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Quickly stay inside your vehicle and wait for emergency responders before the situation worsens.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move to higher ground immediately to avoid the floodwaters before the situation worsens.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Kindly apply direct pressure to the wound and elevate the injured area before the situation worsens.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Warning: cover your nose and mouth with a wet cloth and stay low to the ground immediately.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you cover your nose and mouth with a wet cloth and stay low to the ground right now.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Kindly take the left exit door and go down the stairs slowly immediately.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Attention: cover your nose and mouth with a wet cloth and stay low to the ground to ensure your safety.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Kindly leave your belongings behind and evacuate the building immediately and stay calm.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: use the fire extinguisher on the base of the flames before the situation worsens.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to cover your nose and mouth with a wet cloth and stay low to the ground and help others if you can.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Stay low to avoid smoke inhalation while moving toward the exit immediately.",Stay Low. Avoid Smoke. Exit.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately find a safe place to hide and stay quiet until help arrives right now.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Warning: stay inside your vehicle and wait for emergency responders without panicking.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Action required: leave your belongings behind and evacuate the building immediately right now.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Kindly stay inside your vehicle and wait for emergency responders carefully.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Please do not use the elevators, use the emergency fire stairs and stay calm.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately use the fire extinguisher on the base of the flames immediately.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: call an ambulance and wait outside for them to arrive as soon as possible.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not drink the tap water, use bottled water instead right now.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: cover your nose and mouth with a wet cloth and stay low to the ground right now.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Action required: turn off the main gas valve and evacuate the premises while waiting for responders.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, crawl under the smoke to reach the nearest safe exit as instructed.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Attention: drop to the floor, take cover under a sturdy table, and hold on and stay calm.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to activate the fire alarm on your way out of the corridor and help others if you can.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, apply direct pressure to the wound and elevate the injured area and help others if you can.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay away from electrical outlets and avoid using wired devices carefully.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Quickly take the left exit door and go down the stairs slowly.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Action required: cover your nose and mouth with a wet cloth and stay low to the ground and help others if you can.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: You must move away from the windows and find a secure room before the situation worsens.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to use the fire extinguisher on the base of the flames without panicking.",Extinguish Fire. Aim at Base.
